level_id,level_name,level_type,icon_type,current_icon,current_source,candidate_rank,candidate_name,candidate_path,reason,relevance,risk
castle_normal,Jardin d Illusion,normal,pickup,star procedurale,procedural,1,1F31F glowing star,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F31F.svg,eclat brillant magique,fort,faible
castle_normal,Jardin d Illusion,normal,pickup,star procedurale,procedural,2,2728 sparkles,/home/kali/apps/snake/design_boards/openemoji/color/svg/2728.svg,etincelles multiples,fort,faible
castle_normal,Jardin d Illusion,normal,pickup,star procedurale,procedural,3,1F48E gem stone,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F48E.svg,gemme cristal,moyen,faible
castle_normal,Jardin d Illusion,normal,pickup,star procedurale,procedural,4,2747 sparkle,/home/kali/apps/snake/design_boards/openemoji/color/svg/2747.svg,etincelle simple,moyen,petit a 72px
castle_normal,Jardin d Illusion,normal,pickup,star procedurale,procedural,5,1F4AB dizzy,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4AB.svg,etoiles tournoiement,moyen,sens ambigu
castle_normal,Jardin d Illusion,normal,obstacle,rect procedurale 3etats,procedural,1,1F9F1 brick,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F9F1.svg,brique mur qui apparait,fort,faible
castle_normal,Jardin d Illusion,normal,obstacle,rect procedurale 3etats,procedural,2,1F47B ghost,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F47B.svg,mur fantome etat ghost,fort,faible
castle_normal,Jardin d Illusion,normal,obstacle,rect procedurale 3etats,procedural,3,1F3F0 castle,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3F0.svg,univers chateau,moyen,trop grand
castle_normal,Jardin d Illusion,normal,obstacle,rect procedurale 3etats,procedural,4,26A0 warning,/home/kali/apps/snake/design_boards/openemoji/color/svg/26A0.svg,danger imminent,moyen,generique
castle_normal,Jardin d Illusion,normal,obstacle,rect procedurale 3etats,procedural,5,1F6D1 stop sign,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6D1.svg,barriere arret,moyen,couleur forte
castle_boss,La Sorciere au Miroir,boss,boss_entity,roundedRect procedurale,procedural,1,1FA9E mirror,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FA9E.svg,miroir exact mechanic witchMirror,fort,faible
castle_boss,La Sorciere au Miroir,boss,boss_entity,roundedRect procedurale,procedural,2,1FAA9 mirror ball,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FAA9.svg,boule miroir magique,fort,faible
castle_boss,La Sorciere au Miroir,boss,boss_entity,roundedRect procedurale,procedural,3,1F9D9-200D-2640-FE0F woman mage,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F9D9-200D-2640-FE0F.svg,sorciere correspondance directe,fort,skin tone
castle_boss,La Sorciere au Miroir,boss,boss_entity,roundedRect procedurale,procedural,4,1F52E crystal ball,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F52E.svg,boule cristal sorciere,fort,faible
